No,SBSNCD,SBSNNM,BBSNCD,BBSNCD_Kor,MBSNCD,S1_connectivity_enhancement,S2_habitat_function,S3_hydrology_potential,S4_restoration_budget,Score_sum
144,202007,청도천,20,낙동강권역,2020,74.9,62.2,78.1,58.8,68.5
431,400603,압록수위표,40,섬진강-영산강권역,4006,0,87.7,87.5,98.9,68.5
169,100706,강천보,10,한강권역,1007,62.8,64,76.9,69.4,68.3
166,201105,백천상류,20,낙동강권역,2011,67.9,68.5,85.2,50.9,68.1
89,210106,칠평천,21,낙동강권역,2101,74,67.5,76,54.6,68
118,330110,익산천,33,금강권역,3301,62.6,68.6,75.7,65,68
160,200804,남천,20,낙동강권역,2008,68.4,66.9,87.3,49.2,68
195,320307,종천천,32,금강권역,3203,63.8,67.7,78.9,61.5,68
109,500402,나주수위표,50,섬진강-영산강권역,5004,76.7,66.9,74.9,53,67.9
219,100503,운계천합류전,10,한강권역,1005,60.5,61.7,95.4,53.9,67.9
213,320306,웅천천,32,금강권역,3203,66.1,57.7,67.3,79.9,67.8
52,130108,상운천,13,한강권역,1301,86.3,71,74.1,38.6,67.5
359,400707,주암댐,40,섬진강-영산강권역,4007,0,100,71.4,98.7,67.5
9,202009,화포천,20,낙동강권역,2020,99.5,64.4,76.6,27.7,67.1
55,320310,옥서면,32,금강권역,3203,81.9,62.2,74,50.2,67.1
428,330103,대아댐하류,33,금강권역,3301,0,87.7,90.3,90.3,67.1
422,201603,죽고수위표,20,낙동강권역,2016,0,79.3,97.3,91.2,67
184,301213,석성천,30,금강권역,3012,60.3,58.8,74,74.5,66.9
16,201407,창녕합천보,20,낙동강권역,2014,93.7,64.4,79.2,27.4,66.2
50,201909,함안천,20,낙동강권역,2019,87.7,59.8,78.6,38.8,66.2
168,130204,강릉남대천,13,한강권역,1302,65.1,53.7,78.2,67.8,66.2
48,202104,청도천하류,20,낙동강권역,2021,83.2,68.9,81.4,30.7,66.1
19,330111,만경강중류,33,금강권역,3301,91.8,68.4,75,28.4,65.9
25,202202,월촌수위표,20,낙동강권역,2022,89.5,66.1,79.3,28.8,65.9
392,100319,충주댐,10,한강권역,1003,0,77.6,86.2,99.4,65.8
137,210101,형산강상류,21,낙동강권역,2101,69.8,59.8,81.3,51.8,65.7
69,320309,경포천,32,금강권역,3203,90.2,64.4,74.2,33.5,65.6
203,301209,지천상류,30,금강권역,3012,68.2,66.5,78.7,47.6,65.3
32,301201,세종보,30,금강권역,3012,92.8,82.4,76.5,8.6,65.1
153,500405,죽산보,50,섬진강-영산강권역,5004,68.9,61.2,69.9,60.4,65.1
121,500202,황룡강중류,50,섬진강-영산강권역,5002,77.4,66.1,78.8,37.6,65
3,202206,조만강,20,낙동강권역,2022,99,64.4,72.2,23.9,64.9
76,330302,주상천,33,금강권역,3303,76.5,61.4,73.9,47.8,64.9
123,240109,삼율천,24,낙동강권역,2401,62.1,73.6,75.5,48.3,64.9
412,400203,오수천합류전,40,섬진강-영산강권역,4002,0,78.9,94.8,85,64.7
42,201906,석교천,20,낙동강권역,2019,85.1,61.4,76.2,35.8,64.6
406,300404,호탄수위표,30,금강권역,3004,0,78.9,86.7,92.2,64.5
93,202006,신천합류후,20,낙동강권역,2020,65.6,68.9,78.8,43.2,64.1
12,202205,구포수위표,20,낙동강권역,2022,96.2,68.9,72.6,18.4,64
35,230101,청량천,23,낙동강권역,2301,83.9,68.6,77.1,26.5,64
14,101908,아라천,10,한강권역,1019,95.3,66.1,74.4,19.3,63.8
97,101412,서면수위표,10,한강권역,1014,75.1,67.8,88.6,23.7,63.8
103,202004,함안창녕보,20,낙동강권역,2020,68.6,64.4,76.8,44.1,63.5
5,130202,사천천,13,한강권역,1302,95.1,68.1,74,16.3,63.4
98,210103,남천,21,낙동강권역,2101,70.7,65.2,71.4,46.2,63.4
105,210108,안강수위표,21,낙동강권역,2101,57.7,72.4,83.1,40.2,63.4
106,330203,정읍천,33,금강권역,3302,66.3,63.5,76.4,47.1,63.3
414,201201,영천댐,20,낙동강권역,2012,0,85.7,70,97.5,63.3
2,202204,양산천하류,20,낙동강권역,2022,98.6,71,74.8,7.5,63
1,202207,서낙동강,20,낙동강권역,2022,100,72,68.9,10.7,62.9
147,500105,증암천,50,섬진강-영산강권역,5001,63.3,68.6,77.2,42.5,62.9
341,200302,미천상류,20,낙동강권역,2003,0,73.2,82.9,95.6,62.9
423,201303,회천상류,20,낙동강권역,2013,0,57.7,94.2,99.8,62.9
22,500106,광주수위표,50,섬진강-영산강권역,5001,94.6,68.9,76.4,11.2,62.8
158,410501,광양동천,41,섬진강-영산강권역,4105,86,66.7,69.5,29.1,62.8
415,100207,주천강시점,10,한강권역,1002,0,78.9,95,77.1,62.8
426,500305,대초천,50,섬진강-영산강권역,5003,0,78.9,74.7,97.7,62.8
7,201209,오목천,20,낙동강권역,2012,91.4,64.4,77.9,17.2,62.7
56,201106,이천,20,낙동강권역,2011,80,72.9,80.9,16.1,62.5
18,330113,만경강하류,33,금강권역,3301,87.9,64.4,75.7,21.2,62.3
8,101812,홍제천합류전,10,한강권역,1018,93.2,76.5,78.1,0.5,62.1
60,500802,영산강하구언,50,섬진강-영산강권역,5008,80.5,62.2,77.1,28.1,62
427,400701,보성강상류,40,섬진강-영산강권역,4007,0,87.7,66.1,94,62
26,201101,한천합류후,20,낙동강권역,2011,84.9,64.4,78.5,19.8,61.9
64,330104,소양천,33,금강권역,3301,74.7,72.8,81.9,17.7,61.8
94,100320,충주댐하류,10,한강권역,1003,72.1,68.6,73.5,32.8,61.8
418,201306,안림천,20,낙동강권역,2013,0,100,64.2,83.1,61.8
122,120203,송산면,12,한강권역,1202,59.6,73.2,77.5,36.5,61.7
113,500204,황룡강하류,50,섬진강-영산강권역,5002,71.2,61.2,76.6,37.2,61.6
377,200213,길안천상류,20,낙동강권역,2002,0,66.9,82.4,94.9,61.1
424,410409,고흥천,41,섬진강-영산강권역,4104,0,78.9,68,97.3,61.1
6,220106,태화강,22,낙동강권역,2201,88.1,78.3,75.6,1.9,61
17,500108,황룡강합류전,50,섬진강-영산강권역,5001,93,64.4,73.7,12.8,61
124,301102,미호천상류,30,금강권역,3011,58.4,68.9,73.8,43,61
59,200407,서천하류,20,낙동강권역,2004,84.4,68.1,77.6,13.5,60.9
420,101206,양구교수위표,10,한강권역,1012,0,70.2,78.6,94.7,60.9
46,310114,강청수위표,31,금강권역,3101,79.1,65.2,73.6,25.1,60.8
96,301115,미호천하류,30,금강권역,3011,65.8,67.3,72.2,37.9,60.8
24,201903,반성천합류후,20,낙동강권역,2019,80.7,68.4,81.1,12.3,60.6
411,410102,흥촌천,41,섬진강-영산강권역,4101,0,67.7,78.4,96.3,60.6
11,330205,고부천하류,33,금강권역,3302,92.3,61.4,73.3,14.4,60.4
75,110113,황구지천하류,11,한강권역,1101,77.2,67.1,81.6,15.8,60.4
373,201814,남강댐,20,낙동강권역,2018,0,62.4,85.4,93.6,60.4
384,410406,대강천,41,섬진강-영산강권역,4104,0,62.2,83.6,95.4,60.3
399,201809,양천,20,낙동강권역,2018,0,78.9,74.2,87.3,60.1
116,120103,장수천,12,한강권역,1201,70.9,63.9,75.4,29.7,60
367,530208,태봉천,53,섬진강-영산강권역,5302,0,69.9,80.5,89.6,60
185,320103,송산방조제,32,금강권역,3201,64.7,62.2,68.2,44.6,59.9
309,200808,쌍계천하류,20,낙동강권역,2008,0,61.2,87.7,90.5,59.9
138,201103,칠곡보,20,낙동강권역,2011,58.9,68.5,81.4,30.2,59.8
40,201208,청통천,20,낙동강권역,2012,73,64.4,78.8,22.6,59.7
13,101810,중랑천하류,10,한강권역,1018,85.3,74.5,76,2.4,59.6
362,520201,옥천천,52,섬진강-영산강권역,5202,0,68.5,73.6,96.1,59.6
425,520102,석교천,52,섬진강-영산강권역,5201,0,59.5,81.6,95.9,59.3
28,110112,황구지천상류,11,한강권역,1101,76.1,70.3,81.4,8.9,59.2
39,201402,고령교수위표,20,낙동강권역,2014,78.6,66.1,74.1,17.9,59.2
37,101807,중랑천합류전,10,한강권역,1018,80.2,72.9,76.4,7,59.1
84,301305,논산천하류,30,금강권역,3013,66.8,61.4,73.6,34.6,59.1
10,201211,동촌수위표,20,낙동강권역,2012,87,68.4,75.3,5.4,59
23,202208,낙동강하구언,20,낙동강권역,2022,80.9,64,63.9,26.7,58.9
87,101901,창릉천,10,한강권역,1019,77.7,74.5,64.7,18.6,58.9
376,201703,신반천,20,낙동강권역,2017,0,62.2,85.1,88.4,58.9
396,200801,화북댐,20,낙동강권역,2008,0,76.9,77,81.7,58.9
320,500502,고막원천하류,50,섬진강-영산강권역,5005,0,66.9,80.1,88.2,58.8
263,530301,신안군,53,섬진강-영산강권역,5303,0,72.8,75.2,86.8,58.7
400,400705,동복천,40,섬진강-영산강권역,4007,0,67.8,73.4,92.9,58.5
