No,SBSNCD,SBSNNM,BBSNCD,BBSNCD_Kor,MBSNCD,S1_connectivity_enhancement,S2_habitat_function,S3_hydrology_potential,S4_restoration_budget,Score_sum
328,201218,이언천,20,낙동강권역,2012,0,76.2,84.8,48.8,52.5
391,240110,송천,24,낙동강권역,2401,0,61.9,74.8,72.9,52.4
350,200703,위천합류전,20,낙동강권역,2007,0,67.7,75.5,65.7,52.2
379,301207,어천합류후,30,금강권역,3012,0,62.2,77.6,69,52.2
326,100715,흑천합류전,10,한강권역,1007,0,66.7,71.7,68.7,51.8
331,500306,남평수위표,50,섬진강-영산강권역,5003,0,62.1,89.3,55.7,51.8
351,201804,람천,20,낙동강권역,2018,0,63.9,50.1,93.1,51.8
242,200805,쌍계천합류전,20,낙동강권역,2008,0,68.6,88.3,49.7,51.7
298,202103,청도천상류,20,낙동강권역,2021,0,67.6,77.2,62,51.7
339,200702,상주보,20,낙동강권역,2007,0,59.6,81.9,63.9,51.4
340,202005,임해진수위표,20,낙동강권역,2020,0,82.4,81.3,41.6,51.3
317,100213,평창강하류,10,한강권역,1002,0,67.8,80.2,56.7,51.2
333,300403,봉황천하류,30,금강권역,3004,0,62.2,76.4,65.9,51.1
282,300703,삼가천합류후,30,금강권역,3007,0,61.4,76.6,65.2,50.8
287,100413,요도천,10,한강권역,1004,0,67.6,76.4,58.5,50.6
382,110103,한천,11,한강권역,1101,0,62.4,79.5,59.9,50.5
307,110117,둔포천,11,한강권역,1101,0,62.2,75.9,62.2,50.1
403,201503,거창위천상류,20,낙동강권역,2015,0,65.2,44.2,91,50.1
370,100501,충주조정지댐,10,한강권역,1005,0,62.2,70.7,67.1,50
289,310108,무한천하류,31,금강권역,3101,0,67.6,78.2,53.4,49.8
395,200412,예천수위표,20,낙동강권역,2004,0,45.4,85.9,67.6,49.7
360,301302,탑정댐,30,금강권역,3013,0,77.8,76.8,43.9,49.6
393,100710,양화천,10,한강권역,1007,0,45.4,89.1,63.4,49.5
315,600204,화북천,60,제주권역,6002,0,85.7,75.8,35.1,49.2
389,200209,괘천합류후,20,낙동강권역,2002,0,57.7,76.2,62.7,49.2
316,600403,성산읍,60,제주권역,6004,0,72,70.2,53.2,48.9
330,100708,여주수위표,10,한강권역,1007,0,62.2,75.9,57.1,48.8
357,100703,청미천중류,10,한강권역,1007,0,58,77.9,59.2,48.8
349,100117,영월,10,한강권역,1001,0,70,78,46.7,48.7
49,101801,팔당댐하류,10,한강권역,1018,58.2,62.7,69.3,4,48.6
